iter	RMSE
0	9.200497374
1	9.021796543
2	8.857688939
3	8.699166686
4	8.546610287
5	8.402819392
6	8.262331994
7	8.126385801
8	7.99699663
9	7.871271854
10	7.751202044
11	7.627822019
12	7.518336383
13	7.413826114
14	7.311868671
15	7.214556931
16	7.120835959
17	7.031771328
18	6.943335393
19	6.859319139
20	6.775274843
21	6.694901286
22	6.62002966
23	6.551334195
24	6.486254079
25	6.422343264
26	6.362247676
27	6.305601026
28	6.248294211
29	6.196086528
30	6.145207805
31	6.102494206
32	6.054209817
33	6.011735975
34	5.972881719
35	5.92736117
36	5.881963086
37	5.846114527
38	5.815321574
39	5.772664299
40	5.74499507
41	5.711992217
42	5.680945405
43	5.651515684
44	5.623495007
45	5.595775251
46	5.565309884
47	5.54305578
48	5.51911238
49	5.498261666
50	5.476788661
51	5.459300312
52	5.431329914
53	5.41173024
54	5.393773037
55	5.371408756
56	5.355341985
57	5.339829339
58	5.316030539
59	5.300013412
60	5.28383949
61	5.271903125
62	5.257958202
63	5.240360103
64	5.227893451
65	5.218279068
66	5.201091245
67	5.187597459
68	5.178577437
69	5.159406357
70	5.141132347
71	5.1326793
72	5.122313555
73	5.105481656
74	5.098732321
75	5.090280745
76	5.079295487
77	5.071590695
78	5.064572727
79	5.059085382
80	5.05194061
81	5.043671993
82	5.03533431
83	5.028899456
84	5.018840999
85	5.011932177
86	5.005650136
87	4.995239426
88	4.987569573
89	4.978114688
90	4.972126813
91	4.968505312
92	4.962417234
93	4.959184256
94	4.951803095
95	4.942524874
96	4.933547925
97	4.92725028
98	4.923921265
99	4.919017695
100	4.914875252
101	4.909660865
102	4.906159792
103	4.902482042
104	4.897385309
105	4.892906496
106	4.888024878
107	4.885075985
108	4.880968271
109	4.878207311
110	4.874302862
111	4.868786767
112	4.863981747
113	4.859604288
114	4.855636624
115	4.851230244
116	4.844133068
117	4.8422487
118	4.838825121
119	4.832463481
120	4.828963979
121	4.826038078
122	4.819751936
123	4.815646758
124	4.81179121
125	4.808975879
126	4.806990343
127	4.804597038
128	4.801909186
129	4.798554962
130	4.795516374
131	4.79316304
132	4.786934512
133	4.783749091
134	4.780114553
135	4.775528038
136	4.773384451
137	4.770910302
138	4.768732652
139	4.765997273
140	4.763646481
141	4.761302939
142	4.759503694
143	4.7553793
144	4.753920873
145	4.752109502
146	4.749139503
147	4.743541258
148	4.740848199
149	4.739085555
150	4.736844501
151	4.735513297
152	4.734350005
153	4.72827002
154	4.726991361
155	4.724447637
156	4.72130956
157	4.718580933
158	4.715452146
159	4.711376385
160	4.708717492
161	4.707553625
162	4.705044372
163	4.703603794
164	4.701926681
165	4.700317931
166	4.696120239
167	4.694288349
168	4.692080348
169	4.690161318
170	4.685753286
171	4.682610011
172	4.679248204
173	4.675821674
174	4.674550948
175	4.672693815
176	4.670856643
177	4.669142445
178	4.666930717
179	4.666113354
180	4.664715817
181	4.662966269
182	4.660801516
183	4.658176146
184	4.655763633
185	4.654121634
186	4.651728204
187	4.648107957
188	4.646009365
189	4.645414469
190	4.642338291
191	4.640864923
192	4.635022755
193	4.632133762
194	4.630553453
195	4.62968781
196	4.628919183
197	4.625615543
198	4.623262239
199	4.621835251
200	4.62125152
201	4.619631874
202	4.618606553
203	4.613705506
204	4.611722424
205	4.608356962
206	4.606708188
207	4.603069339
208	4.59996108
209	4.597860212
210	4.594831347
211	4.592866363
212	4.589319407
213	4.585870835
214	4.58338064
215	4.582510823
216	4.579251579
217	4.57826275
218	4.574890316
219	4.574351253
220	4.573459025
221	4.569881205
222	4.568081853
223	4.566322978
224	4.56503954
225	4.563661582
226	4.562383762
227	4.560677711
228	4.559334005
229	4.552282392
230	4.550396914
231	4.547702024
232	4.54509684
233	4.544170446
234	4.542958285
235	4.541635612
236	4.540431879
237	4.535607784
238	4.529984906
239	4.525839199
240	4.524043389
241	4.520536382
242	4.518741191
243	4.517541504
244	4.515012242
245	4.513446805
246	4.51130546
247	4.508489421
248	4.506929727
249	4.50590605
250	4.50516381
251	4.503062439
252	4.499557488
253	4.497793411
254	4.496218209
255	4.495346271
256	4.494232945
257	4.491423308
258	4.4902277
259	4.48895952
260	4.486504751
261	4.485254702
262	4.484170946
263	4.483288877
264	4.481364408
265	4.478980559
266	4.477453845
267	4.47565534
268	4.474837673
269	4.472473643
270	4.470963186
271	4.468931276
272	4.466695884
273	4.46576929
274	4.463229662
275	4.461153689
276	4.458710478
277	4.457777425
278	4.456623593
279	4.455249002
280	4.453720851
281	4.451437545
282	4.449238755
283	4.447117294
284	4.444163371
285	4.44290063
286	4.438495806
287	4.435129998
288	4.43086529
289	4.429612969
290	4.426244181
291	4.422489925
292	4.421433019
293	4.419552294
294	4.417366818
295	4.414758026
