iter	Passed	Remaining
0	56	33949
1	103	30902
2	149	29651
3	192	28746
4	237	28215
5	281	27881
6	327	27746
7	369	27374
8	412	27114
9	454	26818
10	501	26831
11	544	26656
12	588	26584
13	634	26570
14	686	26790
15	739	26982
16	791	27155
17	846	27369
18	898	27481
19	951	27599
20	1005	27733
21	1057	27792
22	1108	27796
23	1153	27690
24	1196	27524
25	1241	27408
26	1367	29025
27	1441	29447
28	1484	29229
29	1531	29105
30	1577	28955
31	1620	28757
32	1666	28640
33	1712	28505
34	1756	28354
35	1802	28241
36	1843	28050
37	1886	27903
38	1928	27745
39	1971	27594
40	2012	27434
41	2053	27288
42	2107	27303
43	2149	27159
44	2195	27076
45	2241	26991
46	2287	26909
47	2332	26829
48	2377	26731
49	2421	26633
50	2461	26500
51	2503	26382
52	2545	26271
53	2588	26174
54	2633	26096
55	2678	26022
56	2724	25958
57	2767	25858
58	2809	25757
59	2850	25652
60	2893	25567
61	2934	25464
62	2975	25362
63	3020	25295
64	3070	25268
65	3112	25179
66	3153	25088
67	3201	25045
68	3243	24963
69	3285	24879
70	3329	24809
71	3374	24744
72	3417	24673
73	3464	24629
74	3506	24545
75	3548	24462
76	3593	24411
77	3644	24387
78	3687	24320
79	3728	24238
80	3780	24225
81	3830	24197
82	3874	24135
83	3926	24117
84	3970	24057
85	4013	23987
86	4061	23950
87	4110	23915
88	4161	23896
89	4223	23934
90	4280	23942
91	4356	24054
92	4423	24113
93	4502	24235
94	4555	24215
95	4629	24305
96	4705	24398
97	4766	24418
98	4817	24379
99	4869	24348
100	4923	24322
101	4976	24297
102	5028	24264
103	5082	24240
104	5131	24193
105	5175	24118
106	5223	24067
107	5268	24001
108	5312	23932
109	5366	23907
110	5409	23832
111	5453	23761
112	5495	23683
113	5540	23618
114	5591	23583
115	5633	23506
116	5676	23435
117	5720	23368
118	5763	23294
119	5807	23230
120	5851	23162
121	5893	23089
122	5934	23014
123	5977	22946
124	6019	22872
125	6062	22807
126	6104	22736
127	6146	22663
128	6186	22586
129	6228	22518
130	6269	22444
131	6311	22376
132	6356	22320
133	6400	22258
134	6440	22183
135	6482	22116
136	6523	22047
137	6577	22020
138	6617	21948
139	6657	21875
140	6699	21809
141	6739	21738
142	6781	21672
143	6824	21610
144	6867	21548
145	6911	21493
146	6968	21474
147	7037	21493
148	7087	21451
149	7136	21409
150	7179	21349
151	7224	21294
152	7264	21224
153	7308	21166
154	7350	21103
155	7393	21043
156	7437	20987
157	7496	20970
158	7547	20933
159	7589	20871
160	7653	20867
161	7698	20814
162	7740	20751
163	7786	20700
164	7831	20645
165	7875	20590
166	7917	20529
167	7967	20487
168	8010	20428
169	8050	20364
170	8115	20360
171	8172	20335
172	8227	20306
173	8270	20249
174	8313	20188
175	8358	20137
176	8404	20084
177	8448	20028
178	8495	19980
179	8535	19916
180	8582	19868
181	8631	19822
182	8681	19782
183	8728	19734
184	8774	19682
185	8817	19625
186	8858	19563
187	8902	19508
188	8945	19453
189	9012	19447
190	9061	19404
191	9104	19346
192	9147	19290
193	9194	19242
194	9238	19188
195	9282	19134
196	9326	19078
197	9373	19030
198	9419	18980
199	9468	18936
200	9518	18894
201	9565	18847
202	9609	18793
203	9663	18759
204	9711	18712
205	9761	18669
206	9803	18612
207	9847	18558
208	9892	18506
209	9935	18451
210	9980	18399
211	10021	18340
212	10066	18290
213	10126	18265
214	10189	18246
215	10234	18195
216	10287	18157
217	10354	18144
218	10437	18157
219	10487	18115
220	10546	18086
221	10593	18037
222	10649	18004
223	10706	17971
224	10755	17925
225	10811	17892
226	10860	17845
227	10908	17798
228	10966	17766
229	11015	17720
230	11057	17663
231	11106	17616
232	11149	17561
233	11191	17504
234	11237	17453
235	11295	17421
236	11344	17376
237	11392	17328
238	11438	17276
239	11482	17224
240	11533	17180
241	11584	17138
242	11628	17084
243	11674	17033
244	11720	16982
245	11765	16931
246	11810	16879
247	11864	16840
248	11910	16789
249	11954	16736
250	12004	16692
251	12060	16655
252	12108	16607
253	12153	16555
254	12198	16503
255	12244	16453
256	12297	16412
257	12351	16373
258	12400	16326
259	12446	16276
260	12497	16232
261	12557	16199
262	12608	16156
263	12656	16108
264	12708	16065
265	12756	16017
266	12808	15974
267	12860	15931
268	12911	15887
269	12960	15841
270	13019	15805
271	13066	15756
272	13110	15704
273	13155	15652
274	13203	15604
275	13256	15562
276	13304	15513
277	13428	15553
278	13510	15544
279	13556	15493
280	13605	15445
281	13650	15392
282	13703	15349
283	13759	15310
284	13848	15306
285	13922	15285
286	13977	15243
287	14030	15199
288	14103	15176
289	14157	15133
290	14207	15086
291	14258	15040
292	14303	14986
293	14361	14947
294	14518	15010
