iter	RMSE
0	9.022380519
1	8.687209192
2	8.385571198
3	8.108203096
4	7.881672095
5	7.671629989
6	7.486178353
7	7.296625637
8	7.105960882
9	6.969988489
10	6.821699411
11	6.693476134
12	6.594529135
13	6.504665081
14	6.391099065
15	6.304492007
16	6.227698307
17	6.147234638
18	6.073184652
19	6.008477568
20	5.961526017
21	5.88383532
22	5.839486033
23	5.797025971
24	5.73321753
25	5.685275063
26	5.619983076
27	5.589274562
28	5.561336131
29	5.525579974
30	5.489622947
31	5.455459151
32	5.428012461
33	5.383700101
34	5.367377249
35	5.350947728
36	5.333386252
37	5.320028625
38	5.289138198
39	5.277741358
40	5.266969038
41	5.248893605
42	5.225836659
43	5.216201997
44	5.204326171
45	5.187104098
46	5.173541646
47	5.1610573
48	5.155370254
49	5.14581702
50	5.127034801
51	5.114959678
52	5.100677617
53	5.091453739
54	5.086162362
55	5.073360725
56	5.059999921
57	5.047411363
58	5.037398777
59	5.029184314
60	5.017378512
61	5.009927753
62	5.006658257
63	5.001846211
64	4.996637333
65	4.988102341
66	4.976918652
67	4.973083993
68	4.968753805
69	4.963793144
70	4.959403329
71	4.950433764
72	4.947905264
73	4.94101092
74	4.934978803
75	4.926448626
76	4.91927964
77	4.916730908
78	4.914535159
79	4.909332592
80	4.903462337
81	4.898903501
82	4.897787903
83	4.891914841
84	4.887963109
85	4.885417665
86	4.879147119
87	4.871762698
88	4.869970517
89	4.866623448
90	4.864845235
91	4.861005508
92	4.853162408
93	4.84977684
94	4.845726892
95	4.837398418
96	4.832884509
97	4.828404315
98	4.825019934
99	4.822943079
100	4.819640153
101	4.818306156
102	4.816925866
103	4.813800208
104	4.811026193
105	4.809798071
106	4.808326329
107	4.807253721
108	4.803526808
109	4.80068856
110	4.799106374
111	4.795330309
112	4.790278079
113	4.787761009
114	4.786206695
115	4.783425289
116	4.780869073
117	4.773614466
118	4.771137557
119	4.76950783
120	4.766174168
121	4.7630418
122	4.760073659
123	4.757425445
124	4.754052431
125	4.753075904
126	4.751895858
127	4.750908712
128	4.747685448
129	4.745651499
130	4.7445533
131	4.743534249
132	4.7424402
133	4.740770543
134	4.73845579
135	4.736446991
136	4.733537271
137	4.730886297
138	4.725580626
139	4.724686153
140	4.72242737
141	4.721544186
142	4.715178097
143	4.705368244
144	4.700044858
145	4.698296914
146	4.696393458
147	4.694410757
148	4.69069981
149	4.686367344
150	4.681134152
151	4.67870638
152	4.677916752
153	4.677126169
154	4.674684642
155	4.664884344
156	4.659853977
157	4.65912326
158	4.656844655
159	4.652407583
160	4.651605233
161	4.649455708
162	4.648425612
163	4.645656313
164	4.637498391
165	4.634772251
166	4.632877423
167	4.626485454
168	4.625336196
169	4.622700799
170	4.618828663
171	4.615841322
172	4.613929018
173	4.609635794
174	4.602632453
175	4.600971896
176	4.598634843
177	4.592038392
178	4.589147536
179	4.587643308
180	4.586362871
181	4.58104259
182	4.579044762
183	4.577312721
184	4.576226963
185	4.574899697
186	4.573538183
187	4.572020233
188	4.56942212
189	4.568644652
190	4.566197924
191	4.559321936
192	4.557472259
193	4.556248422
194	4.551356771
195	4.549779349
196	4.544232511
197	4.543662966
198	4.54146085
199	4.537583848
200	4.535941893
201	4.534531783
202	4.534005362
203	4.532593409
204	4.528954439
205	4.523416905
206	4.522480747
207	4.521601724
208	4.518887617
209	4.517755667
210	4.512802681
211	4.508457207
212	4.503901048
213	4.499620796
214	4.498491423
215	4.496233306
