iter	Passed	Remaining
0	1744	1742639
1	1957	976569
2	2148	713980
3	2172	540956
4	2194	436761
5	2218	367479
6	2269	322015
7	2290	284022
8	2316	255054
9	2336	231341
10	2358	212050
11	2381	196116
12	2403	182478
13	2644	186273
14	2680	176018
15	2836	174441
16	2901	167767
17	2924	159544
18	2945	152058
19	2962	145164
20	2984	139118
21	3006	133637
22	3024	128467
23	3042	123746
24	3065	119571
25	3220	120660
26	3267	117739
27	3300	114589
28	3329	111474
29	3351	108369
30	3374	105493
31	3408	103100
32	3434	100652
33	3468	98551
34	3489	96217
35	3514	94101
36	3545	92269
37	3568	90342
38	3599	88693
39	3623	86968
40	3665	85726
41	3718	84809
42	3739	83226
43	3760	81696
44	3780	80227
45	3798	78777
46	3822	77511
47	3844	76250
48	3864	74996
49	3893	73970
50	3920	72942
51	3942	71879
52	3973	71002
53	3994	69982
54	4019	69060
55	4042	68136
56	4067	67287
57	4093	66487
58	4120	65718
59	4143	64919
60	4164	64100
61	4183	63298
62	4204	62527
63	4226	61818
64	4250	61136
65	4275	60505
66	4295	59819
67	4313	59120
68	4341	58573
69	4361	57951
70	4384	57363
71	4406	56799
72	4423	56178
73	4443	55607
74	4468	55105
75	4499	54699
76	4519	54174
77	4545	53732
78	4578	53377
79	4602	52929
80	4627	52499
81	4717	52808
82	4810	53149
83	4872	53133
84	4913	52889
85	4958	52695
86	4979	52258
87	5000	51823
88	5019	51379
89	5039	50950
90	5058	50533
91	5077	50115
92	5096	49708
93	5115	49305
94	5137	48943
95	5160	48598
96	5188	48303
97	5211	47967
98	5250	47788
99	5308	47772
100	5355	47668
101	5375	47328
102	5394	46979
103	5413	46640
104	5435	46329
105	5456	46018
106	5484	45771
107	5504	45463
108	5523	45152
109	5541	44839
110	5569	44605
111	5611	44493
112	5643	44297
113	5662	44009
114	5682	43731
115	5705	43480
116	5723	43195
117	5744	42938
118	5766	42691
119	5800	42535
120	5820	42280
121	5838	42020
122	5858	41770
123	5876	41515
124	5894	41262
125	5914	41023
126	5935	40800
127	5954	40563
128	5972	40324
129	5992	40106
130	6011	39879
131	6029	39646
132	6047	39424
133	6070	39231
134	6088	39012
135	6110	38822
136	6130	38620
137	6153	38439
138	6187	38328
139	6216	38187
140	6241	38026
141	6261	37831
142	6285	37668
143	6314	37538
144	6337	37369
145	6364	37226
146	6394	37103
