iter	Passed	Remaining
0	50	50780
1	89	44903
2	124	41275
3	165	41186
4	202	40207
5	239	39651
6	284	40335
7	321	39878
8	362	39948
9	398	39465
10	445	40027
11	482	39747
12	522	39654
13	553	38977
14	600	39409
15	634	39037
16	672	38905
17	715	39040
18	760	39269
19	813	39847
20	865	40326
21	947	42130
22	991	42104
23	1044	42494
24	1104	43078
25	1161	43494
26	1206	43472
27	1261	43777
28	1296	43415
29	1344	43469
30	1378	43076
31	1409	42629
32	1447	42416
33	1484	42178
34	1514	41762
35	1551	41552
36	1584	41238
37	1620	41027
38	1651	40703
39	1682	40382
40	1715	40129
41	1751	39949
42	1783	39696
43	1816	39466
44	1847	39202
45	1870	38789
46	1915	38844
47	1939	38469
48	1969	38222
49	2000	38017
50	2030	37788
51	2060	37572
52	2085	37257
53	2112	37002
54	2136	36713
55	2166	36519
56	2196	36340
57	2230	36224
58	2263	36102
59	2293	35929
60	2318	35691
61	2342	35432
62	2370	35258
63	2394	35020
64	2420	34824
65	2443	34580
66	2475	34476
67	2500	34277
68	2524	34067
69	2550	33879
70	2574	33682
71	2602	33546
72	2627	33367
73	2656	33247
74	2698	33281
75	2722	33102
76	2754	33013
77	2785	32924
78	2808	32740
79	2838	32643
80	2864	32501
81	2913	32612
82	2941	32493
83	2975	32447
84	3003	32329
85	3032	32232
86	3060	32118
87	3099	32120
88	3124	31983
89	3147	31825
90	3173	31703
91	3204	31628
92	3231	31512
93	3261	31432
94	3294	31384
95	3323	31291
96	3347	31159
97	3373	31050
98	3400	30946
99	3424	30824
100	3454	30744
101	3477	30612
102	3518	30642
103	3543	30531
104	3571	30440
105	3601	30371
106	3623	30244
107	3653	30176
108	3684	30121
109	3714	30051
110	3738	29944
111	3766	29864
112	3795	29789
113	3824	29721
114	3849	29626
115	3884	29604
116	3927	29644
117	3980	29751
118	4011	29701
119	4035	29591
120	4071	29578
121	4095	29473
122	4128	29435
123	4152	29334
124	4176	29238
125	4203	29159
126	4226	29053
127	4248	28943
128	4275	28867
129	4298	28766
130	4327	28709
131	4352	28618
132	4385	28588
133	4409	28497
134	4437	28435
135	4462	28353
136	4487	28268
137	4516	28211
138	4549	28181
139	4571	28084
140	4598	28017
141	4622	27929
142	4650	27867
143	4683	27840
144	4711	27784
145	4737	27710
146	4767	27666
147	4796	27613
148	4832	27601
149	4862	27553
150	4897	27538
151	4921	27458
152	4951	27412
153	4979	27354
154	5002	27272
155	5030	27217
156	5062	27183
157	5083	27090
158	5112	27040
159	5139	26984
160	5164	26911
161	5193	26863
162	5214	26777
163	5253	26781
164	5283	26736
165	5308	26668
166	5331	26592
167	5356	26529
168	5386	26484
169	5410	26415
170	5437	26361
171	5463	26303
172	5490	26245
173	5517	26193
174	5546	26148
175	5571	26083
176	5599	26035
177	5626	25982
178	5651	25920
179	5685	25898
180	5715	25863
181	5741	25805
182	5771	25768
183	5801	25730
184	5831	25691
185	5877	25720
186	5908	25687
187	5934	25630
188	5960	25578
189	5981	25498
190	6012	25468
191	6044	25435
192	6068	25374
193	6093	25318
194	6135	25328
195	6161	25275
196	6192	25239
197	6217	25184
198	6242	25126
199	6273	25094
200	6300	25043
201	6325	24988
202	6351	24935
203	6373	24869
204	6401	24825
205	6432	24793
206	6456	24733
207	6482	24681
208	6506	24624
209	6544	24620
210	6572	24576
211	6602	24541
212	6634	24514
213	6664	24476
214	6688	24422
215	6715	24375
216	6745	24339
217	6771	24290
218	6794	24230
219	6828	24211
220	6862	24190
221	6894	24161
222	6927	24138
223	6970	24148
224	6999	24110
225	7028	24069
226	7059	24038
227	7085	23992
228	7111	23941
229	7139	23900
230	7170	23870
231	7199	23831
232	7222	23774
233	7253	23745
234	7280	23701
235	7305	23649
236	7334	23612
237	7365	23580
238	7400	23563
239	7429	23525
240	7452	23469
241	7482	23438
242	7512	23402
243	7536	23351
244	7573	23339
245	7604	23306
246	7637	23284
247	7675	23275
248	7705	23239
249	7733	23200
250	7769	23183
251	7808	23178
252	7847	23169
253	7895	23189
254	7924	23152
255	7948	23101
256	7988	23095
257	8014	23048
258	8040	23003
259	8073	22977
260	8095	22922
261	8124	22884
262	8154	22851
263	8189	22831
264	8223	22807
265	8260	22793
266	8292	22766
267	8327	22744
268	8357	22710
269	8389	22683
270	8419	22649
271	8450	22616
272	8472	22561
273	8505	22536
274	8534	22500
275	8559	22453
276	8585	22408
277	8614	22374
278	8642	22333
279	8678	22315
280	8704	22271
281	8733	22235
282	8758	22190
283	8783	22144
284	8814	22114
285	8845	22083
286	8885	22073
287	8915	22042
288	8943	22002
289	8965	21950
290	8991	21908
291	9021	21873
292	9044	21824
293	9073	21789
294	9107	21766
295	9136	21729
296	9160	21683
297	9187	21643
298	9218	21612
299	9244	21570
300	9273	21535
301	9302	21499
302	9330	21464
303	9355	21419
304	9384	21383
305	9412	21347
306	9438	21305
307	9464	21264
308	9489	21219
309	9531	21214
310	9555	21169
311	9582	21130
312	9609	21092
313	9639	21058
314	9667	21023
315	9694	20985
316	9718	20938
317	9752	20916
318	9783	20885
319	9813	20854
320	9863	20863
321	9896	20837
322	9932	20819
323	9960	20781
324	9985	20738
325	10021	20718
326	10054	20692
327	10077	20647
328	10104	20609
329	10129	20565
330	10162	20540
331	10191	20505
332	10218	20466
333	10247	20434
334	10274	20395
335	10301	20357
336	10323	20310
